text,pos
где,ADVB
небо,NOUN
пролито,PRTS
из,PREP
синего,ADJF
кувшина,NOUN
из,PREP
рук,NOUN
русалки,NOUN
темной,ADJF
площади,NOUN
и,CONJ
алошарая,ADJF
вершина,NOUN
светла,ADJS
венком,NOUN
стеклянной,ADJF
проседи,NOUN
ученым,NOUN
глазом,NOUN
в,PREP
ночь,NOUN
иди,VERB
ее,NPRO
на,PREP
небо,NOUN
устремленный,PRTF
глаз,NOUN
в,PREP
чернила,NOUN
ночи,NOUN
ярко,ADVB
пролит,PRTS
cорвать,INFN
покровы,NOUN
напоказ,ADVB
дворец,NOUN
для,PREP
толп,NOUN
упорно,ADVB
волит,NOUN
чтоб,CONJ
созерцать,INFN
ряды,NOUN
созвездий,NOUN
и,CONJ
углублять,INFN
закон,NOUN
возмездий,NOUN
где,ADVB
одинокая,ADJF
игла,NOUN
на,PREP
страже,NOUN
улицы,NOUN
угла,NOUN
стеклянный,ADJF
путь,NOUN
покоя,NOUN
над,PREP
покоем,NOUN
был,VERB
зорким,ADJF
стражем,NOUN
тишины,NOUN
со,PREP
стен,NOUN
цветным,ADJF
прозрачным,ADJF
роем,NOUN
смотрели,VERB
старцы,NOUN
вещуны,NOUN
в,PREP
потоке,NOUN
золотого,ADJF
куполе,NOUN
они,NPRO
смотрели,VERB
мудрецы,NOUN
искали,VERB
правду,NOUN
пытали,VERB
глупо,ADVB
ли,CONJ
c,PREP
сынами,NOUN
сеть,NOUN
ведут,VERB
отцы,NOUN
и,CONJ
шуму,NOUN
всего,ADJF
человечества,NOUN
внимало,VERB
спокойное,ADJF
жречество,NOUN
но,CONJ
книгой,NOUN
черных,ADJF
плоскостей,NOUN
разрежет,VERB
город,NOUN
синеву,NOUN
и,CONJ
станет,VERB
больше,COMP
и,CONJ
синей,COMP
пустотный,ADJF
ночи,NOUN
круг,NOUN
над,PREP
глубиной,NOUN
прозрачных,ADJF
улиц,NOUN
в,PREP
стекле,NOUN
тяжелом,ADJF
в,PREP
глубине,NOUN
священных,ADJF
лиц,NOUN
ряды,NOUN
тянулись,VERB
с,PREP
огнем,NOUN
небес,NOUN
наедине,ADVB
разрушив,GRND
жизни,NOUN
грубый,ADJF
кокон,NOUN
толпа,NOUN
прозрачно,ADVB
светлых,ADJF
окон,NOUN
под,PREP
шаровыми,NOUN
куполами,NOUN
былых,ADJF
видений,NOUN
табуны,NOUN
былых,ADJF
времен,NOUN
расскажет,VERB
сны,NOUN
в,PREP
высоком,ADJF
и,CONJ
отвесном,ADJF
храме,NOUN
здесь,ADVB
рода,NOUN
смертного,NOUN
отцы,NOUN
взошли,VERB
на,PREP
купола,NOUN
концы,NOUN
но,CONJ
лица,NOUN
их,NPRO
своим,ADJF
окном,NOUN
как,CONJ
невод,NOUN
не,PRCL
задержат,VERB
света,NOUN
на,PREP
черном,ADJF
вырезе,NOUN
хором,ADVB
стоит,VERB
толпа,NOUN
людей,NOUN
завета,NOUN
железные,ADJF
поля,NOUN
что,CONJ
ходят,VERB
на,PREP
колесах,NOUN
и,CONJ
возят,VERB
мешок,NOUN
толп,NOUN
бросая,GRND
общей,ADJF
кучей,NOUN
дворец,NOUN
стеклянный,ADJF
прямей,COMP
чем,CONJ
старца,NOUN
посох,NOUN
свою,ADJF
бросает,VERB
ось,NOUN
